Date,Maximum Temprature (°C),Minimum Temprature (°C),Wind Speed (km/h),Wind Direction,Amount of Rain (mm),Humidity (%),Cloud Coverage (%),Pressure (mb)
2009-01-01,4,-5,10,WNW,0.0,45,18,1021
2009-01-02,6,-2,7,SSW,0.1,51,22,1018
2009-01-03,0,-4,12,ESE,34.6,91,80,1016
2009-01-04,1,-10,8,WNW,0.0,80,20,1021
2009-01-05,-1,-13,10,SW,0.0,63,3,1022
2009-01-06,0,-12,9,SSW,0.0,68,4,1022
2009-01-07,0,-12,9,SSW,0.0,75,8,1026
2009-01-08,-2,-13,9,E,0.0,74,5,1029
2009-01-09,-3,-11,11,ENE,8.3,93,47,1029
2009-01-10,-1,-12,4,S,0.2,90,20,1028
2009-01-11,0,-10,9,E,2.9,93,47,1026
2009-01-12,0,-7,8,ESE,4.8,96,51,1026
2009-01-13,0,-4,10,ESE,19.8,97,81,1026
2009-01-14,0,-5,7,ESE,8.4,96,60,1027
2009-01-15,0,-5,12,ENE,12.6,96,64,1025
2009-01-16,1,-9,14,SSE,16.9,96,68,1021
2009-01-17,-1,-12,7,E,0.3,89,21,1026
2009-01-18,0,-12,10,W,3.8,87,21,1024
2009-01-19,-1,-14,14,WSW,0.0,75,5,1030
2009-01-20,2,-10,11,ESE,0.0,74,22,1025
2009-01-21,3,-7,7,SSE,0.0,79,11,1023
2009-01-22,3,-6,6,ENE,0.0,73,18,1021
2009-01-23,3,-8,7,NE,0.0,81,12,1023
2009-01-24,2,-5,13,NE,1.4,93,44,1019
2009-01-25,2,-4,12,NE,1.0,96,62,1015
2009-01-26,2,-5,9,SE,1.5,95,55,1016
2009-01-27,3,-10,9,WSW,0.0,84,9,1021
2009-01-28,3,-8,7,ESE,0.0,76,10,1020
2009-01-29,1,-9,7,SW,0.5,87,18,1020
2009-01-30,2,-10,11,WNW,0.0,81,7,1025
2009-01-31,5,-11,9,SW,0.0,52,16,1022
2009-02-01,5,-4,8,NW,0.0,69,4,1021
2009-02-02,3,-4,8,SSE,4.9,75,38,1019
2009-02-03,4,-3,8,SSW,1.6,80,18,1019
2009-02-04,1,-6,10,SSE,4.4,86,32,1018
2009-02-05,-1,-11,16,SW,3.5,90,30,1020
2009-02-06,1,-13,9,W,0.0,74,5,1027
2009-02-07,3,-12,9,SSW,0.0,67,9,1024
2009-02-08,4,-9,7,SSE,0.0,67,10,1023
2009-02-09,1,-5,10,E,10.3,87,58,1021
2009-02-10,4,-8,9,W,7.3,82,24,1019
2009-02-11,2,-8,10,WSW,0.0,76,16,1019
2009-02-12,2,-5,12,SSE,17.2,93,58,1015
2009-02-13,2,-8,9,WSW,21.8,88,27,1014
2009-02-14,1,-10,8,SW,0.0,79,6,1022
2009-02-15,3,-12,10,W,0.0,69,6,1024
2009-02-16,2,-12,9,WSW,0.7,71,27,1023
2009-02-17,3,-9,7,WNW,0.0,85,11,1023
2009-02-18,2,-10,8,SW,0.0,78,17,1022
2009-02-19,2,-7,10,S,12.5,89,34,1016
2009-02-20,2,-7,10,SW,0.2,85,22,1022
2009-02-21,3,-7,7,WSW,8.0,87,36,1023
2009-02-22,3,-5,11,SW,4.0,92,41,1014
2009-02-23,4,-2,14,SW,1.7,90,42,1012
2009-02-24,4,-6,10,W,0.1,84,15,1016
2009-02-25,2,-9,8,WSW,0.7,76,28,1019
2009-02-26,5,-9,10,NW,0.0,71,4,1019
2009-02-27,4,-8,10,NW,0.0,69,3,1022
2009-02-28,6,-8,9,W,3.0,75,21,1020
2009-03-01,5,0,8,W,8.9,92,40,1017
2009-03-02,8,-1,16,WSW,0.8,78,21,1017
2009-03-03,5,-2,21,SSW,7.3,82,22,1013
2009-03-04,6,-4,9,WNW,0.0,73,5,1017
2009-03-05,5,-5,7,SSW,0.0,68,4,1018
2009-03-06,7,-5,8,W,0.5,63,11,1017
2009-03-07,6,-6,10,W,0.0,57,14,1020
2009-03-08,6,-6,11,NW,0.0,52,10,1019
2009-03-09,8,-5,12,NW,0.0,56,6,1022
2009-03-10,13,-4,12,NW,0.0,40,1,1023
2009-03-11,13,1,11,WNW,0.0,32,13,1022
2009-03-12,13,0,13,NNW,0.0,44,3,1022
2009-03-13,14,-2,13,W,0.0,46,8,1023
2009-03-14,14,0,7,W,0.0,39,3,1023
2009-03-15,14,2,8,WNW,0.0,36,16,1019
2009-03-16,14,1,10,SSW,0.1,40,17,1017
2009-03-17,14,2,8,SW,0.0,45,10,1018
2009-03-18,11,3,10,SW,3.2,63,23,1018
2009-03-19,13,1,10,NW,0.0,50,12,1017
2009-03-20,13,1,9,NW,0.7,40,7,1016
2009-03-21,13,2,8,W,0.0,36,11,1017
2009-03-22,13,1,11,SSE,0.2,57,10,1017
2009-03-23,10,3,14,SE,49.1,86,58,1017
2009-03-24,12,1,12,S,4.6,63,17,1018
2009-03-25,12,-2,12,NW,0.0,46,3,1018
2009-03-26,13,1,11,WSW,0.2,54,14,1015
2009-03-27,13,5,9,WNW,0.0,49,13,1013
2009-03-28,7,2,9,ESE,19.0,75,40,1015
2009-03-29,11,0,12,WNW,1.2,63,14,1016
2009-03-30,11,-3,12,NNW,0.0,47,13,1019
